arrival,leave
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0025
0.01,0.0375
0.01,0.0375
0.01,0.0375
0.01,0.0375
0.01,0.0375
0.01,0.0375
0.01,0.0375
0.01,0.0375
0.01,0.0775
0.01,0.0775
0.01,0.0775
0.01,0.0775
0.01,0.085
0.01,0.085
0.01,0.085
0.01,0.085
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.01,0.0325
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.005,0.0075
0.015,0.0075
0.015,0.0075
0.015,0.0075
0.015,0.0075
0.015,0.005
0.015,0.005
0.015,0.005
0.015,0.005
0.0225,0.005
0.0225,0.005
0.0225,0.005
0.0225,0.005
0.0625,0.005
0.0625,0.005
0.0625,0.005
0.0625,0.005
0.0725,0.005
0.0725,0.005
0.0725,0.005
0.0725,0.005
0.0375,0.0025
0.0375,0.0025
0.0375,0.0025
0.0375,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
0.025,0.0025
