,price,price_clipped,price_clipped_normalized,price_normalized
2023-01-01 00:00:00,-0.517,-0.517,-0.019376812476868233,-0.009861330993572014
2023-01-01 00:15:00,-0.517,-0.517,-0.019376812476868233,-0.009861330993572014
2023-01-01 00:30:00,-0.517,-0.517,-0.019376812476868233,-0.009861330993572014
2023-01-01 00:45:00,-0.517,-0.517,-0.019376812476868233,-0.009861330993572014
2023-01-01 01:00:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 01:15:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 01:30:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 01:45:00,-0.107,-0.107,-0.004010288075483367,-0.0020409331069868577
2023-01-01 02:00:00,-0.147,-0.147,-0.005509461187813597,-0.0028038987544585802
2023-01-01 02:15:00,-0.147,-0.147,-0.005509461187813597,-0.0028038987544585802
2023-01-01 02:30:00,-0.147,-0.147,-0.005509461187813597,-0.0028038987544585802
2023-01-01 02:45:00,-0.147,-0.147,-0.005509461187813597,-0.0028038987544585802
2023-01-01 03:00:00,-0.508,-0.508,-0.01903949852659393,-0.009689663722890877
2023-01-01 03:15:00,-0.508,-0.508,-0.01903949852659393,-0.009689663722890877
2023-01-01 03:30:00,-0.508,-0.508,-0.01903949852659393,-0.009689663722890877
2023-01-01 03:45:00,-0.508,-0.508,-0.01903949852659393,-0.009689663722890877
2023-01-01 04:00:00,-0.449,-0.449,-0.016828218185906837,-0.008564289392870086
2023-01-01 04:15:00,-0.449,-0.449,-0.016828218185906837,-0.008564289392870086
2023-01-01 04:30:00,-0.449,-0.449,-0.016828218185906837,-0.008564289392870086
2023-01-01 04:45:00,-0.449,-0.449,-0.016828218185906837,-0.008564289392870086
2023-01-01 05:00:00,-0.54,-0.54,-0.020238837016458115,-0.010300036240868256
2023-01-01 05:15:00,-0.54,-0.54,-0.020238837016458115,-0.010300036240868256
2023-01-01 05:30:00,-0.54,-0.54,-0.020238837016458115,-0.010300036240868256
2023-01-01 05:45:00,-0.54,-0.54,-0.020238837016458115,-0.010300036240868256
2023-01-01 06:00:00,-0.502,-0.502,-0.018814622559744393,-0.009575218875770118
2023-01-01 06:15:00,-0.502,-0.502,-0.018814622559744393,-0.009575218875770118
2023-01-01 06:30:00,-0.502,-0.502,-0.018814622559744393,-0.009575218875770118
2023-01-01 06:45:00,-0.502,-0.502,-0.018814622559744393,-0.009575218875770118
2023-01-01 07:00:00,-0.13,-0.13,-0.0048723126150732494,-0.0024796383542830987
2023-01-01 07:15:00,-0.13,-0.13,-0.0048723126150732494,-0.0024796383542830987
2023-01-01 07:30:00,-0.13,-0.13,-0.0048723126150732494,-0.0024796383542830987
